mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",20,33.8,29.94,23.52,18.42,14.31,10.94
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",22,26.92,23.52,17.84,13.34,9.71,6.74
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",24,21.27,18.21,13.1,9.09,5.84,3.18
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",26,15.91,13.18,8.64,5.04,2.13,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",28,11.44,8.96,4.85,1.59,0,0
BASE,Southern Yellow Pine Poles,Two or More Side Mount Fixtures,"8-1/2"" x 8-1/4""",30,7.08,4.86,1.16,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",8,14.96,13.56,11.21,9.35,7.76,6.41
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",10,10.84,9.61,7.56,5.93,4.62,3.54
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",12,7.36,6.34,4.65,3.3,2.22,1.33
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",14,4.48,3.62,2.21,1.08,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",16,1.98,1.26,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",18,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"5"" x 5-1/2""",20,0,0,0,0,0,0
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,36.11,32.92,27.61,23.39,19.99,17.19
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,27.42,24.88,20.56,17,14.12,11.77
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,21.03,18.8,15.07,12.12,9.74,7.78
DIRECT EMBEDMENT,Alaskan Yellow Cedar Poles,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,15.63,13.74,10.61,8.12,6.12,4.47
